#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
C0000000014_ptg000014l:320804-321376   -            191 28544at4891          -            154     5e-87  286.9   0.2   1   2   4.7e-73   4.4e-71  235.1   0.0     1   121     6   128     6   138 0.96 -
C0000000014_ptg000014l:320804-321376   -            191 28544at4891          -            154     5e-87  286.9   0.2   2   2     4e-16   3.8e-14   50.2   0.0   118   154   144   180   137   180 0.94 -
C0000000003_ptg000003l:69878-70411     -            178 28544at4891          -            154   9.7e-66  217.7   0.2   1   2   1.5e-58   1.4e-56  188.0   0.0     1   119     2   122     2   132 0.96 -
C0000000003_ptg000003l:69878-70411     -            178 28544at4891          -            154   9.7e-66  217.7   0.2   2   2   2.4e-09   2.2e-07   28.2   0.0   118   153   143   178   137   178 0.94 -
C0000000016_ptg000016l:306073-306765   -            231 28544at4891          -            154   1.5e-56  187.9   0.2   1   2   7.6e-53   7.2e-51  169.5   0.0     1   120    15   136    15   172 0.90 -
C0000000016_ptg000016l:306073-306765   -            231 28544at4891          -            154   1.5e-56  187.9   0.2   2   2   7.7e-06   0.00073   16.8   0.0   119   152   178   211   170   213 0.92 -
C0000000017_ptg000017l:124863-125360   -            166 28544at4891          -            154   3.5e-49  164.0   0.1   1   1   3.9e-50   3.7e-48  160.6   0.1     4   150     1   164     1   166 0.89 -
C0000000013_ptg000013l:138844-139416   -            191 28544at4891          -            154   3.7e-44  147.7   0.1   1   2   5.3e-40     5e-38  127.8   0.0     4   119     5   122     2   134 0.94 -
C0000000013_ptg000013l:138844-139416   -            191 28544at4891          -            154   3.7e-44  147.7   0.1   2   2   3.3e-06   0.00032   18.0   0.0   118   151   143   176   134   178 0.88 -
C0000000014_ptg000014l:477250-477927   -            226 28544at4891          -            154   2.1e-38  129.0   0.6   1   3   7.8e-16   7.4e-14   49.3   0.0     4    45     5    46     2    62 0.92 -
C0000000014_ptg000014l:477250-477927   -            226 28544at4891          -            154   2.1e-38  129.0   0.6   2   3   1.7e-20   1.6e-18   64.4   0.0    46   123    77   167    70   188 0.80 -
C0000000014_ptg000014l:477250-477927   -            226 28544at4891          -            154   2.1e-38  129.0   0.6   3   3   0.00039     0.037   11.3   0.0   119   151   185   217   177   220 0.85 -
C0000000011_ptg000011l:491256-491801   -            182 28544at4891          -            154   3.4e-23   79.6   0.0   1   1     6e-25   5.6e-23   78.9   0.0     4   144     8   163     5   172 0.85 -
C0000000001_ptg000001l:216348-216965   -            206 28544at4891          -            154   6.4e-23   78.7   0.2   1   1   9.7e-25   9.2e-23   78.2   0.2     4   149    10   167     8   172 0.84 -
C0000000014_ptg000014l:327549-328034   -            162 28544at4891          -            154   6.8e-22   75.4   0.0   1   1   3.9e-23   3.7e-21   73.0   0.0     4   144     1   159     1   162 0.76 -
C0000000013_ptg000013l:202287-203702   -            279 28544at4891          -            154   1.3e-21   74.4   0.2   1   1   2.8e-23   2.6e-21   73.5   0.2     2   147    74   233    73   237 0.84 -
C0000000009_ptg000009l:215251-215919   -            223 28544at4891          -            154   5.8e-21   72.3   0.0   1   1   9.5e-23     9e-21   71.7   0.0     4   146    15   169    12   176 0.82 -
C0000000002_ptg000002l:75869-76438     -            190 28544at4891          -            154   1.6e-20   71.0   0.1   1   1   2.2e-22   2.1e-20   70.5   0.1     4   143     1   155     1   162 0.79 -
