#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
C0000000007_ptg000007l:54290-57550     -           1087 15997at4891          -            432  3.2e-107  356.2  51.4   1   7     7e-11   6.2e-08   29.0   2.1     3    77    50   144    48   159 0.74 -
C0000000007_ptg000007l:54290-57550     -           1087 15997at4891          -            432  3.2e-107  356.2  51.4   2   7     7e-20   6.2e-17   58.7   1.5    57   150   175   272   146   309 0.81 -
C0000000007_ptg000007l:54290-57550     -           1087 15997at4891          -            432  3.2e-107  356.2  51.4   3   7     6e-06    0.0053   12.8   0.4   139   209   384   470   379   482 0.67 -
C0000000007_ptg000007l:54290-57550     -           1087 15997at4891          -            432  3.2e-107  356.2  51.4   4   7     0.084        74   -0.9   0.0   178   200   489   511   476   541 0.72 -
C0000000007_ptg000007l:54290-57550     -           1087 15997at4891          -            432  3.2e-107  356.2  51.4   5   7       0.2   1.8e+02   -2.1   0.0   156   184   540   568   517   574 0.68 -
C0000000007_ptg000007l:54290-57550     -           1087 15997at4891          -            432  3.2e-107  356.2  51.4   6   7   8.7e-60   7.7e-57  190.2  19.1   209   379   666   865   659   870 0.86 -
C0000000007_ptg000007l:54290-57550     -           1087 15997at4891          -            432  3.2e-107  356.2  51.4   7   7     3e-22   2.7e-19   66.5   0.1   376   425   931   985   923   995 0.88 -
C0000000005_ptg000005l:1247308-1249026 -            573 15997at4891          -            432   0.00012   18.2  10.8   1   4   0.00062      0.55    6.1   0.0   300   337   112   145   102   150 0.81 -
C0000000005_ptg000005l:1247308-1249026 -            573 15997at4891          -            432   0.00012   18.2  10.8   2   4   5.3e-05     0.047    9.7   0.0   335   377   189   231   182   235 0.90 -
C0000000005_ptg000005l:1247308-1249026 -            573 15997at4891          -            432   0.00012   18.2  10.8   3   4      0.34     3e+02   -2.9   0.5   332   349   407   424   381   453 0.51 -
C0000000005_ptg000005l:1247308-1249026 -            573 15997at4891          -            432   0.00012   18.2  10.8   4   4   0.00022       0.2    7.6   0.7   202   250   490   538   473   563 0.79 -
C0000000007_ptg000007l:258084-258338   -             85 15997at4891          -            432     0.013   11.5   0.4   1   1   2.1e-05     0.018   11.0   0.4   316   338    23    45    13    85 0.65 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/deepseq/tool/BUSCO_v5/saccharomycetes_odb10/hmms/15997at4891.hmm
# Target file:     /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR13577846.fa.ca.modified.fas
# Option settings: hmmsearch --domtblout /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/hmmer_output/initial_run_results/15997at4891.out --cpu 1 /home/deepseq/tool/BUSCO_v5/saccharomycetes_odb10/hmms/15997at4891.hmm /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR13577846.fa.ca.modified.fas 
# Current dir:     /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478
# Date:            Thu Feb 23 09:51:02 2023
# [ok]
