#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
C0000000011_ptg000011l:199735-200874 -            380 23197at4891          -            216   3.2e-42  142.1   7.2   1   4     0.015       9.9    3.2   0.0     1    13     7    19     7    28 0.88 -
C0000000011_ptg000011l:199735-200874 -            380 23197at4891          -            216   3.2e-42  142.1   7.2   2   4   8.3e-19   5.5e-16   56.3   1.1    11   123    45   212    43   217 0.70 -
C0000000011_ptg000011l:199735-200874 -            380 23197at4891          -            216   3.2e-42  142.1   7.2   3   4   1.2e-24   7.7e-22   75.5   0.0   127   194   243   326   235   340 0.79 -
C0000000011_ptg000011l:199735-200874 -            380 23197at4891          -            216   3.2e-42  142.1   7.2   4   4      0.73   4.9e+02   -2.3   0.0   193   210   349   366   347   371 0.82 -
C0000000014_ptg000014l:355189-356052 -            288 23197at4891          -            216   4.5e-24   82.8   1.9   1   3    0.0051       3.4    4.8   0.0    12    33    33    54    29    94 0.87 -
C0000000014_ptg000014l:355189-356052 -            288 23197at4891          -            216   4.5e-24   82.8   1.9   2   3   4.1e-11   2.7e-08   31.2   0.0    68   129   120   193   108   204 0.75 -
C0000000014_ptg000014l:355189-356052 -            288 23197at4891          -            216   4.5e-24   82.8   1.9   3   3   2.9e-15   1.9e-12   44.8   0.2   129   185   223   288   209   288 0.73 -
C0000000011_ptg000011l:528308-528838 -            177 23197at4891          -            216   1.8e-22   77.6   0.1   1   2   1.5e-10   9.7e-08   29.4   0.0    68   125     1    72     1    93 0.74 -
C0000000011_ptg000011l:528308-528838 -            177 23197at4891          -            216   1.8e-22   77.6   0.1   2   2   9.2e-16   6.1e-13   46.4   0.0   128   188   103   172    94   177 0.75 -
C0000000016_ptg000016l:94535-95434   -            300 23197at4891          -            216   4.6e-22   76.2   0.8   1   3     0.036        24    2.0   0.0    12    30    37    55    33    67 0.87 -
C0000000016_ptg000016l:94535-95434   -            300 23197at4891          -            216   4.6e-22   76.2   0.8   2   3   7.6e-09     5e-06   23.8   0.1    66   123   124   195   114   203 0.74 -
C0000000016_ptg000016l:94535-95434   -            300 23197at4891          -            216   4.6e-22   76.2   0.8   3   3   5.3e-16   3.5e-13   47.2   0.1   128   187   225   294   216   300 0.79 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/deepseq/tool/BUSCO_v5/saccharomycetes_odb10/hmms/23197at4891.hmm
# Target file:     /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR13577846.fa.ca.modified.fas
# Option settings: hmmsearch --domtblout /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/hmmer_output/initial_run_results/23197at4891.out --cpu 1 /home/deepseq/tool/BUSCO_v5/saccharomycetes_odb10/hmms/23197at4891.hmm /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR13577846.fa.ca.modified.fas 
# Current dir:     /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478
# Date:            Thu Feb 23 09:51:04 2023
# [ok]
